niv_active_side,quarter,technology,technology_sp_weight,side_quarter_sp_weight,share,share_pct
offer,2023Q1,DIESEL,11.0,2162.0,0.005087881591119334,0.5087881591119334
offer,2023Q1,GAS,9.665909090909091,2162.0,0.004470818265915398,0.4470818265915398
offer,2023Q1,NEMO,8.0,2162.0,0.0037002775208140612,0.37002775208140615
offer,2023Q1,IFA2,3.0,2162.0,0.0013876040703052729,0.13876040703052728
offer,2023Q1,BritNed,2.0,2162.0,0.0009250693802035153,0.09250693802035154
offer,2023Q1,IFA,2.0,2162.0,0.0009250693802035153,0.09250693802035154
offer,2023Q1,Eleclink,1.0,2162.0,0.00046253469010175765,0.04625346901017577
offer,2023Q1,WIND,1.0,2162.0,0.00046253469010175765,0.04625346901017577
offer,2023Q2,CCGT,930.526923076923,1843.0,0.5048979506657206,50.489795066572064
offer,2023Q2,PS,484.5416666666667,1843.0,0.26290920600470247,26.290920600470248
offer,2023Q2,BATTERY,131.03568376068375,1843.0,0.07109912303889515,7.109912303889515
offer,2023Q2,OTHER,65.47070707070706,1843.0,0.03552398647352527,3.552398647352527
offer,2023Q2,DSR,59.542784992784995,1843.0,0.03230753390818502,3.230753390818502
offer,2023Q2,NPSHYD,48.083333333333336,1843.0,0.026089708808102734,2.6089708808102734
offer,2023Q2,COAL,46.5,1843.0,0.025230602278893108,2.5230602278893106
offer,2023Q2,DIESEL,42.76353646353646,1843.0,0.023203221087106055,2.3203221087106054
offer,2023Q2,BIOMASS,6.0,1843.0,0.0032555615843733042,0.32555615843733043
offer,2023Q2,BritNed,6.0,1843.0,0.0032555615843733042,0.32555615843733043
offer,2023Q2,NEMO,6.0,1843.0,0.0032555615843733042,0.32555615843733043
offer,2023Q2,GAS,5.853546453546453,1843.0,0.003176096827751738,0.3176096827751738
offer,2023Q2,OCGT,5.681818181818182,1843.0,0.0030829181670201746,0.30829181670201744
offer,2023Q2,IFA,3.0,1843.0,0.0016277807921866521,0.16277807921866522
offer,2023Q2,Eleclink,1.0,1843.0,0.0005425935973955507,0.05425935973955508
offer,2023Q2,WIND,1.0,1843.0,0.0005425935973955507,0.05425935973955508
offer,2023Q3,CCGT,921.3095238095239,1926.0,0.47835385452207885,47.83538545220789
offer,2023Q3,PS,422.81944444444446,1926.0,0.21953242182992963,21.953242182992962
offer,2023Q3,BATTERY,176.42314907314906,1926.0,0.09160080429550833,9.160080429550833
offer,2023Q3,OTHER,78.59838772338772,1926.0,0.04080913173592301,4.080913173592301
offer,2023Q3,COAL,67.0,1926.0,0.0347871235721703,3.47871235721703
offer,2023Q3,DSR,60.52449494949495,1926.0,0.031424971417183256,3.1424971417183256
offer,2023Q3,NPSHYD,59.35,1926.0,0.03081516095534787,3.0815160955347873
offer,2023Q3,DIESEL,35.175,1926.0,0.018263239875389407,1.8263239875389408
offer,2023Q3,BritNed,34.0,1926.0,0.017653167185877467,1.7653167185877467
offer,2023Q3,BIOMASS,26.0,1926.0,0.013499480789200415,1.3499480789200415
offer,2023Q3,NEMO,13.0,1926.0,0.006749740394600207,0.6749740394600208
offer,2023Q3,IFA,11.0,1926.0,0.005711318795430945,0.5711318795430945
offer,2023Q3,OCGT,6.6,1926.0,0.0034267912772585666,0.3426791277258567
offer,2023Q3,WIND,6.0,1926.0,0.003115264797507788,0.3115264797507788
offer,2023Q3,GAS,4.2,1926.0,0.0021806853582554517,0.21806853582554517
offer,2023Q3,Eleclink,4.0,1926.0,0.0020768431983385254,0.20768431983385255
offer,2023Q4,CCGT,1236.45,2196.0,0.5630464480874318,56.30464480874318
offer,2023Q4,PS,535.5666666666667,2196.0,0.243882817243473,24.388281724347298
offer,2023Q4,BATTERY,140.46602564102565,2196.0,0.06396449255055812,6.3964492550558125
offer,2023Q4,BIOMASS,60.75,2196.0,0.027663934426229508,2.7663934426229506
offer,2023Q4,DSR,41.239102564102566,2196.0,0.018779190602961095,1.8779190602961096
offer,2023Q4,OTHER,37.978205128205126,2196.0,0.0172942646303302,1.72942646303302
offer,2023Q4,NPSHYD,30.6,2196.0,0.013934426229508197,1.3934426229508197
offer,2023Q4,DIESEL,30.083333333333332,2196.0,0.013699149969641772,1.3699149969641773
offer,2023Q4,BritNed,23.0,2196.0,0.010473588342440802,1.0473588342440803
