tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
249,T_HOWAO-3,WIND,T_HOWAO,Hornsea 1 Limited,400.0,62,31.0,0.0,31.0,0.061163286244179625,0.061163286244179625,0.0,Bid,1.0
250,I_IFD-NITR1,IFA,I_IFD-NITR,Nitor Energy A/S,,32,31.0,0.0,31.0,0.061163286244179625,0.061163286244179625,0.0,Bid,1.0
251,2__NLOND001,OCGT,2__NLOND_OC,EDF Energy Customers Limited,30.0,35,1.0,29.75,30.75,0.06067003393575882,0.001973009233683214,0.058697024702075606,Offer,0.967479674796748
252,T_SLOY-3,NPSHYD,T_SLOY,SSE Generation Ltd,41.46,116,8.629700854700854,22.04594572094572,30.675646575646574,0.06052333394295354,0.017026479470248705,0.043496854472704835,Offer,0.7186790885264671
253,T_EAAO-2,WIND,T_EAAO,East Anglia One Limited,367.0,46,30.0,0.0,30.0,0.05919027701049641,0.05919027701049641,0.0,Bid,1.0
254,T_CRYRW-2,WIND,T_CRYRW,Eneco Energy Trade,150.62,35,30.0,0.0,30.0,0.05919027701049641,0.05919027701049641,0.0,Bid,1.0
255,I_IVD-NEAS1,Viking,I_IVD-NEAS,Centrica Energy Trading A/S,,31,30.0,0.0,30.0,0.05919027701049641,0.05919027701049641,0.0,Bid,1.0
256,2__BBPGM001,BATTERY,2__BBPGM,BP Gas Marketing Limited,10.19,30,17.0,13.0,30.0,0.05919027701049641,0.03354115697261463,0.02564912003788178,Bid,0.5666666666666667
257,T_ERRO-1,NPSHYD,T_ERRO,SSE Generation Ltd,25.3,111,5.720238095238095,24.277813852813853,29.99805194805195,0.05918643348601521,0.01128608258077124,0.047900350905243964,Offer,0.8093130145536146
258,T_SGRWO-3,WIND,T_SGRWO,Seagreen Wind Energy Limited,374.618,93,29.95,0.0,29.95,0.05909162654881225,0.05909162654881225,0.0,Bid,1.0
259,M_CAS-KIL01,NPSHYD,M_CAS-KIL,SSE Generation Ltd,70.0,33,25.333333333333332,4.6,29.93333333333333,0.059058743061584186,0.049982900586641406,0.009075842474942782,Bid,0.846325167037862
260,T_WDRGW-1,WIND,T_WDRGW,Windy Rig Wind Farm Limited,42.8,45,29.333333333333332,0.0,29.333333333333332,0.05787493752137426,0.05787493752137426,0.0,Bid,1.0
261,T_DOUGW-1,WIND,T_DOUGW,Erova Energy Limited,45.0,33,29.116666666666667,0.0,29.116666666666667,0.05744745218740957,0.05744745218740957,0.0,Bid,1.0
262,E_RDFRB-1,DIESEL,E_RDFRB,Conrad Energy (Trading) Ltd,20.0,79,1.9444444444444444,27.133369408369408,29.07781385281385,0.05737079522692339,0.003836406843272915,0.053534388383650475,Offer,0.9331296206005432
263,T_KPMRW-1,WIND,T_KPMRW,OnPath Energy Limited,89.0,37,29.0,0.0,29.0,0.05721726777681319,0.05721726777681319,0.0,Bid,1.0
264,2__HSTAT003,BATTERY,2__HSTAT,Statkraft Markets Gmbh,20.475,29,1.0,27.5,28.5,0.05623076315997159,0.001973009233683214,0.05425775392628838,Offer,0.9649122807017544
265,2__DSTAT004,BATTERY,2__DSTAT,Statkraft Markets Gmbh,16.0,36,1.3053571428571429,27.076923076923077,28.38228021978022,0.0559985009466108,0.0025754816961114806,0.053423019250499325,Offer,0.954008024276097
266,V__PHABI004,OTHER,V__PHABI_OTH,Habitat Energy Limited,0.0,45,21.066666666666666,7.033333333333333,28.1,0.05544155946649831,0.0415647278562597,0.013876831610238604,Bid,0.7497034400948991
