side,replacement_marginal_bmu,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,lead_party,years_present,distinct_settlement_periods,tie_adjusted_share_within_side,tie_adjusted_rank_within_side
bid,T_GRAI-7,CCGT,15,12.0,Uniper UK Limited,"2023, 2024, 2025",12,0.002461033634126333,108
bid,T_SGRWO-5,WIND,12,12.0,Seagreen Wind Energy Limited,"2024, 2025",12,0.002461033634126333,109
bid,E_BRIDGWTR,GAS,11,11.0,UK Power Reserve Limited,"2024, 2025",11,0.002255947497949139,110
bid,E_BURWB-2,LOAD RESPONSE,11,11.0,EDF Energy Customers Limited,2025,11,0.002255947497949139,111
bid,E_RDFRB-1,DIESEL,12,11.0,Conrad Energy (Trading) Ltd,"2024, 2025",11,0.002255947497949139,112
bid,T_CRDEW-1,WIND,17,11.0,EDF Energy Customers Limited,"2024, 2025",11,0.002255947497949139,113
bid,T_ERRO-1,NPSHYD,15,11.0,SSE Generation Ltd,"2024, 2025",11,0.002255947497949139,114
bid,T_MOWWO-1,WIND,13,11.0,Moray Offshore Wind West Ltd,"2024, 2025",11,0.002255947497949139,115
bid,T_MOWWO-4,WIND,11,11.0,Moray Offshore Wind West Ltd,2025,11,0.002255947497949139,116
bid,T_SOKYW-1,WIND,12,11.0,South Kyle Wind Farm Limited,2025,11,0.002255947497949139,117
bid,T_TWSHW-1,WIND,15,11.0,Twentyshilling Limited,2025,11,0.002255947497949139,118
bid,T_DIDCB6,CCGT,17,10.666666666666666,RWE Generation UK plc,"2023, 2024, 2025",11,0.0021875854525567405,119
bid,T_KENNW-1,WIND,12,10.5,Kennoxhead Wind Farm Limited,"2023, 2025",11,0.0021534044298605415,120
bid,T_RATS-1,COAL,14,10.5,Uniper UK Limited,"2023, 2024",11,0.0021534044298605415,121
bid,2__NLOND002,OCGT,11,10.0,EDF Energy Customers Limited,2025,10,0.002050861361771944,122
bid,E_FDUN-1,OCGT,11,10.0,Whitetower Energy Limited,2025,10,0.002050861361771944,123
bid,T_FASN-1,NPSHYD,12,10.0,SSE Generation Ltd,"2023, 2024, 2025",10,0.002050861361771944,124
bid,T_STAY-3,CCGT,11,10.0,RWE Generation UK plc,"2023, 2024, 2025",10,0.002050861361771944,125
bid,V__EADEL001,GAS,12,10.0,Adela Energy Ltd,"2024, 2025",10,0.002050861361771944,126
bid,2__BFLEX001,LOAD RESPONSE,15,9.0,Flexitricity Limited,"2024, 2025",9,0.0018457752255947497,127
bid,T_CNQPS-3,CCGT,9,9.0,Uniper UK Limited,"2024, 2025",9,0.0018457752255947497,128
bid,T_DINO-6,PS,9,9.0,First Hydro Company,"2024, 2025",9,0.0018457752255947497,129
bid,T_STAY-2,CCGT,9,9.0,RWE Generation UK plc,"2024, 2025",9,0.0018457752255947497,130
bid,T_SVRP-10,CCGT,12,9.0,Severn Power Limited,"2024, 2025",9,0.0018457752255947497,131
bid,T_VKNGW-4,WIND,14,9.0,Viking Energy Wind Farm LLP,2025,9,0.0018457752255947497,132
bid,V__BADEL001,GAS,10,9.0,Adela Energy Ltd,"2024, 2025",9,0.0018457752255947497,133
bid,2__ALOND002,LOAD RESPONSE,9,8.0,EDF Energy Customers Limited,"2023, 2024",8,0.0016406890894175555,134
bid,2__EFLEX001,LOAD RESPONSE,8,8.0,Flexitricity Limited,"2023, 2024",8,0.0016406890894175555,135
bid,2__LANGE001,LOAD RESPONSE,9,8.0,Limejump Energy Limited,2024,8,0.0016406890894175555,136
bid,T_CNQPS-1,CCGT,8,8.0,Uniper UK Limited,"2023, 2024, 2025",8,0.0016406890894175555,137
bid,T_GLNDO-1,NPSHYD,8,8.0,SSE Generation Ltd,"2024, 2025",8,0.0016406890894175555,138
bid,T_PEMB-11,CCGT,8,8.0,RWE Generation UK plc,"2024, 2025",8,0.0016406890894175555,139
bid,T_SUTBS-1,SOLAR,9,8.0,EDF Energy Customers Limited,"2024, 2025",8,0.0016406890894175555,140
bid,2__NSTAT004,LOAD RESPONSE,7,7.0,Statkraft Markets Gmbh,2025,7,0.001435602953240361,141
bid,E_BSPHM-1,DIESEL,9,7.0,Conrad Energy (Trading) Ltd,"2023, 2024, 2025",7,0.001435602953240361,142
bid,E_GYAR-1,CCGT,10,7.0,RWE Generation UK plc,"2023, 2025",7,0.001435602953240361,143
bid,T_DOREW-2,WIND,7,7.0,Dorenell Windfarm Limited,"2024, 2025",7,0.001435602953240361,144
bid,T_LBAR-1,CCGT,10,7.0,RWE Generation UK plc,"2023, 2025",7,0.001435602953240361,145
bid,T_NANT-1,NPSHYD,10,7.0,SSE Generation Ltd,"2024, 2025",7,0.001435602953240361,146
bid,T_PEMB-41,CCGT,10,7.0,RWE Generation UK plc,"2023, 2024, 2025",7,0.001435602953240361,147
bid,T_RATS-4,COAL,8,7.0,Uniper UK Limited,"2023, 2024",7,0.001435602953240361,148
bid,T_VKNGW-1,WIND,8,7.0,Viking Energy Wind Farm LLP,2025,7,0.001435602953240361,149
